"School","Name","ProfileURL","Pos","HS","City","State","Ht/Wt","Stars","Score","Committed","Interest"
"UC Davis","Ryan Rakowski","https://247sports.com/Player/ryan-rakowski-46142142/","QB","Palos Verdes","Palos Verdes Peninsula","CA","5-11 / 181",3,85,NA,"Cool"
"UC Davis","Brody Rudnicki","https://247sports.com/Player/brody-rudnicki-46148226/","QB","Folsom","Folsom","CA","6-1 / 205",3,84,NA,"Cool"
"UC Davis","Matthew Smith","https://247sports.com/Player/matthew-smith-46166585/","QB","Santa Margarita Catholic","Rancho Santa Margarita","CA","6-1 / 190",NA,NA,NA,"Cool"
"UC Davis","Caleb Bey","https://247sports.com/Player/caleb-bey-46141492/","RB","Crean Lutheran","Irvine","CA","5-10 / 185",3,85,"Sacramento State","Committed: Sacramento State"
"UC Davis","Eli Dukes","https://247sports.com/Player/eli-dukes-46144730/","RB","Palma","Salinas","CA","5-10 / 165",NA,NA,NA,"Cool"
"UC Davis","Luke Frith","https://247sports.com/Player/luke-frith-46153318/","WR","San Juan Hills","San Juan Capistrano","CA","6-0 / 170",3,85,NA,"Cool"
"UC Davis","Kamden Tillis","https://247sports.com/Player/kamden-tillis-46156264/","WR","Los Alamitos","Los Alamitos","CA","5-11 / 190",3,85,NA,"Cool"
"UC Davis","AJ Williams","https://247sports.com/Player/aj-williams-46164102/","WR","Hanford","Hanford","CA","6-3 / 175",NA,NA,NA,"Cool"
"UC Davis","Luke Karby","https://247sports.com/Player/luke-karby-46161021/","TE","Mission Viejo","Mission Viejo","CA","6-3 / 215",3,85,"Duke","Committed: Duke"
"UC Davis","Clint Lundin","https://247sports.com/Player/clint-lundin-46158853/","OT","De La Salle","Concord","CA","6-6 / 295",3,85,"Stanford","Committed: Stanford"
"UC Davis","Dylan Modena","https://247sports.com/Player/dylan-modena-46150804/","Edge","Junipero Serra","San Mateo","CA","6-3 / 220",3,85,NA,"Cool"
"UC Davis","Maxwell Porter","https://247sports.com/Player/maxwell-porter-46155980/","Edge","San Juan Hills","San Juan Capistrano","CA","6-2 / 230",3,82,NA,"Cool"
"UC Davis","Lua Deberry","https://247sports.com/Player/lua-deberry-46149941/","DL","Folsom","Folsom","CA","6-2 / 280",3,85,NA,"Cool"
"UC Davis","Xavior Jones","https://247sports.com/Player/xavior-jones-46158359/","ATH","Central East","Fresno","CA","5-10 / 160",3,84,NA,"Cool"
"Air Force","Trevor Schneider","https://247sports.com/Player/trevor-schneider-46156977/","RB","Chaparral","Temecula","CA","5-10 / 180",3,85,NA,"Cool"
"Air Force","Clark Cokley","https://247sports.com/Player/clark-cokley-46150178/","WR","JSerra Catholic","San Juan Capistrano","CA","5-11 / 178",3,85,NA,"Cool"
"Air Force","Jack Junker","https://247sports.com/Player/jack-junker-46155377/","WR","Mission Viejo","Mission Viejo","CA","5-10 / 180",3,84,NA,"Cool"
"Air Force","Luke Karby","https://247sports.com/Player/luke-karby-46161021/","TE","Mission Viejo","Mission Viejo","CA","6-3 / 215",3,85,"Duke","Committed: Duke"
"Air Force","George Tyus","https://247sports.com/Player/george-tyus-46158935/","OT","Antioch","Antioch","CA","6-6 / 285",3,87,"Stanford","Committed: Stanford"
